,en,ko,ja,zh,,,,,,,,,,,,,,,
TITLE,,Ether Fairy - 이더리움 기반 요정 거래 플랫폼,,妖精領域 Ether Fairy - 區塊鏈妖精培育遊戲,,,,,,,,,,,,,,,
INTRODUCE,,Ether Fairy는 이더리움을 기반으로 한 요정 거래 플랫폼입니다.,,妖精領域是一款使用以太幣為運作基礎的妖精培育遊戲。,,,,,,,,,,,,,,,
THEME_SONG,,테마곡,,主題曲,,,,,,,,,,,,,,,
NEWS,,새 소식,,最新消息,,,,,,,,,,,,,,,
CONTACT,,서비스에 대한 문의는 contact@btncafe.com으로 주시기 바랍니다.,,如有任何問題，請透過 contact.tw@btncafe.com 與我們聯絡。,,,,,,,,,,,,,,,
LAYOUT_HOME_BUTTON,,홈,,首頁,,,,,,,,,,,,,,,
LAYOUT_START_BUTTON,,시작하기,,開始遊戲,,,,,,,,,,,,,,,
START_TITLE,,Ether Fairy 시작하기,,進入 妖精領域 Ether Fairy,,,,,,,,,,,,,,,
START_MASTER,,소유주로 시작하기,,以主人身分開始,,,,,,,,,,,,,,,
START_DESIGNER,,디자이너로 시작하기,,以創造者身分開始,,,,,,,,,,,,,,,
START_MASTER_DESCRIPTION,,이더리움으로 요정을 구매하고 성장시키는 소유주로 가입합니다.,,以主人身分開始，可以使用以太幣購買、培養妖精。,,,,,,,,,,,,,,,
START_DESIGNER_DESCRIPTION,,요정의 모습을 그리고 능력치를 지정하는 디자이너로 가입합니다.,,以創造者身分開始，可以設計妖精的外觀及能力。,,,,,,,,,,,,,,,
START_DESCRIPTION,,메타마스크를 이용해 로그인합니다.,,MetaMask登入,,,,,,,,,,,,,,,
START_BUTTON,,시작하기,,開始遊戲,,,,,,,,,,,,,,,
PLEASE_UNLOCK_METAMASK,,메타마스크가 잠겨있습니다. 메타마스크에 로그인해주시기 바랍니다.,,MetaMask被鎖定，請登入MetaMask解鎖。,,,,,,,,,,,,,,,
PLEASE_INSTALL_METAMASK,,메타마스크를 설치해주시기 바랍니다.,,請安裝MetaMask。,,,,,,,,,,,,,,,
INSTALL_METAMASK_BUTTON,,설치하기,,安裝MetaMask,,,,,,,,,,,,,,,
PLEASE_ENTER_MASTER_NICKNAME,,소유주의 닉네임을 입력해주시기 바랍니다.,,請輸入主人的名字。,,,,,,,,,,,,,,,
USERNAME,ID,아이디,ID,帳號,,,,,,,,,,,,,,,
NICKNAME,Nickname,닉네임,ニックネーム,暱稱,,,,,,,,,,,,,,,
PASSWORD,Password,비밀번호,パスワード,密碼,,,,,,,,,,,,,,,
EMAIL,,이메일,,電子信箱,,,,,,,,,,,,,,,
EMAIL_FOR_PASSWORD,Email address for password recovery,비밀번호 찾기용 이메일,パスワード復元用のメールアドレス,復原密碼用之電子信箱,,,,,,,,,,,,,,,
VIEW_TERMS,View the terms,이용약관 보기,利用約款を見る,查看使用者合約書,,,,,,,,,,,,,,,
AGREE_TERMS,I agree to the terms.,이용약관에 동의합니다.,利用約款に同意します。,同意使用者合約書。,,,,,,,,,,,,,,,
VIEW_PRIVACY,View the privacy policy,개인정보취급방침 보기,プライバシーポリシーを見る,查看隱私權政策,,,,,,,,,,,,,,,
AGREE_PRIVACY,I agree to the privacy policy.,개인정보취급방침에 동의합니다.,プライバシーポリシーに同意します。,同意隱私權政策。,,,,,,,,,,,,,,,
JOIN_DONE,,가입 완료,,註冊,,,,,,,,,,,,,,,
NOT_VALID_USERNAME_NOT_EMPTY,Please enter the ID.,아이디를 입력해주시기 바랍니다.,IDを入力してください。,請輸入帳號。,,,,,,,,,,,,,,,
NOT_VALID_USERNAME_SIZE,An ID should be at least {min} characters and no more than {max} characters.,"아이디는 {min}글자 이상, {max}글자 이하로 입력해주시기 바랍니다.",IDは{min}文字以上、{max}文字以下で入力してください。,帳號請輸入{min}至{max}個字之間。,,,,,,,,,,,,,,,
NOT_VALID_USERNAME_FORMAT,"An ID can only contain alphabetic characters, digits, hyphen(-), and underscore(_).","아이디는 알파벳 대소문자, 숫자, 하이픈(-) 및 언더바(_)로 입력해주시기 바랍니다.",IDに使用できるのは、英字、数字、ハイフン(-)、アンダースコア(_)のみです。,帳號僅能使用英文、數字及半形字元（-或_）。,,,,,,,,,,,,,,,
NOT_VALID_USERNAME_EXISTED,The ID already exists.,이미 존재하는 아이디입니다.,既に存在するIDです。,此帳號已存在。,,,,,,,,,,,,,,,
NOT_VALID_USERNAME_NOT_ALLOWED,The ID is impossible to use.,사용 불가능한 아이디입니다.,使用できないIDです。,此帳號無法使用。,,,,,,,,,,,,,,,
NOT_VALID_PASSWORD_NOT_EMPTY,Please enter your password.,비밀번호를 입력해주시기 바랍니다.,パスワードを入力してください。,請輸入密碼。,,,,,,,,,,,,,,,
NOT_VALID_PASSWORD_SIZE,A password should be at least {min} characters and no more than {max} characters.,"비밀번호는 {min}글자 이상, {max}글자 이하로 입력해주시기 바랍니다.",パースワードは{min}文字以上、{max}文字以下で入力してください。,密碼請輸入{min}至{max}個字。,,,,,,,,,,,,,,,
NOT_VALID_EMAIL_NOT_EMPTY,Please enter your email address.,이메일을 입력해주시기 바랍니다.,メールアドレスを入力してください。,請輸入電子信箱。,,,,,,,,,,,,,,,
